Alias,Localization,IP
ypfN,IntegralMembraneProtein,34.24
yhdT,IntegralMembraneProtein,31.14
yjeT,IntegralMembraneProtein,28.72
rhtA,IntegralMembraneProtein,24.87
yfjD,IntegralMembraneProtein,20.24
tatA,Membrane-anchored,20.16
yciS,IntegralMembraneProtein,19.48
ybdJ,IntegralMembraneProtein,19.05
fdoI,IntegralMembraneProtein,16.59
yaiZ,IntegralMembraneProtein,15.8
pspB,Membrane-anchored,14.5
ftsB,Membrane-anchored,14.31
yajC,Membrane-anchored,14.2
ymgF,IntegralMembraneProtein,14.11
yobD,IntegralMembraneProtein,13.74
yiiR,IntegralMembraneProtein,12.65
yfiN,IntegralMembraneProtein,12.41
frdD,IntegralMembraneProtein,12.3
nuoA,IntegralMembraneProtein,12.03
ybbM,IntegralMembraneProtein,11.65
tolR,Membrane-anchored,11.58
yhhL,IntegralMembraneProtein,11.56
ytjA,IntegralMembraneProtein,11.55
hdeD,IntegralMembraneProtein,11.38
ybaN,IntegralMembraneProtein,10.92
cybB,IntegralMembraneProtein,10.78
yfgA,Membrane-anchored,10.42
nhaA,IntegralMembraneProtein,10.4
ybgE,IntegralMembraneProtein,10.33
mreD,IntegralMembraneProtein,10.31
sdhC,IntegralMembraneProtein,10.19
ytjB,Membrane-anchored,10.12
yjdF,IntegralMembraneProtein,9.94
yodB,IntegralMembraneProtein,9.79
yhaH,IntegralMembraneProtein,9.59
yliF,IntegralMembraneProtein,9.54
yneE,IntegralMembraneProtein,9.26
sbmA,IntegralMembraneProtein,9.25
yicE,IntegralMembraneProtein,9.2
potC,IntegralMembraneProtein,9.18
cpxA,IntegralMembraneProtein,9.17
yfcA,IntegralMembraneProtein,8.97
emrD,IntegralMembraneProtein,8.93
gltJ,IntegralMembraneProtein,8.59
yejE,IntegralMembraneProtein,8.57
yhiP,IntegralMembraneProtein,8.51
ygdD,IntegralMembraneProtein,8.48
sanA,IntegralMembraneProtein,8.46
secE,IntegralMembraneProtein,8.36
eamA,IntegralMembraneProtein,8.35
gltP,IntegralMembraneProtein,8.27
mdtJ,IntegralMembraneProtein,8.24
yrfF,IntegralMembraneProtein,8.04
zupT,IntegralMembraneProtein,7.89
tatB,IntegralMembraneProtein,7.86
yccA,IntegralMembraneProtein,7.7
nuoL,IntegralMembraneProtein,7.63
lldP,IntegralMembraneProtein,7.49
exbD,Membrane-anchored,7.44
yeaQ,IntegralMembraneProtein,7.43
ydcX,IntegralMembraneProtein,7.42
ychE,IntegralMembraneProtein,7.41
yniB,IntegralMembraneProtein,7.35
dppC,IntegralMembraneProtein,7.31
yjgQ,IntegralMembraneProtein,7.3
gsiC,IntegralMembraneProtein,7.24
potH,IntegralMembraneProtein,7.21
rhtC,IntegralMembraneProtein,7.17
mdoB,IntegralMembraneProtein,7.16
yohJ,IntegralMembraneProtein,7.09
yibN,Membrane-anchored,7.05
yobH,-,7.01
dedA,IntegralMembraneProtein,7
cydB,IntegralMembraneProtein,6.96
dcuA,IntegralMembraneProtein,6.89
yhhN,IntegralMembraneProtein,6.89
hflC,Membrane-anchored,6.88
bcr,IntegralMembraneProtein,6.87
yfhD,Periplasmic,6.84
yjgP,IntegralMembraneProtein,6.83
yfdI,IntegralMembraneProtein,6.82
yrbK,Membrane-anchored,6.82
yecS,IntegralMembraneProtein,6.78
yeiH,IntegralMembraneProtein,6.66
mglC,IntegralMembraneProtein,6.59
nhaB,IntegralMembraneProtein,6.59
glpG,IntegralMembraneProtein,6.58
