alias,annotation
tisB,TA
istR-1,TA
sokA,TA
hokA,TA
dinQ,TA
agrB,TA
ldrD,TA
rdlD,TA
prlF,TA
yhaV,TA
higB,TA
higA,TA
ibsE,TA
sibE,TA
ibsD,TA
sibD,TA
ibsC,TA
sibC,TA
mqsR,TA
mqsA,TA
mazE,TA
mazF,TA
yfjZ,TA
ypjF,TA
rnlA,TA
rnlB,TA
ratA,TA
ratB,TA
shoB,TA
ohcC,TA
ibsB,TA
sibB,TA
ibsA,TA
sibA,TA
yefM,TA
yoeB,TA
cbeA,TA
cbtA,TA
relB,TA
relE,TA
hokD,TA
hipB,TA
hibA,TA
hicA,TA
hicB,TA
hokB,TA
sokB,TA
ralR,TA
ralA,TA
ldrB,TA
rdlB,TA
ldrA,TA
rdlA,TA
ldrC,TA
rdlC,TA
hokE,TA
sokE,TA
yafW,TA
ykfI,TA
yafN,TA
yafO,TA
dinJ,TA
yafQ,TA
hokC,TA
sokC,TA
symE,TA
symR,TA
topAI,TA
yihQ,TA
rplA,ribosome
rplB,ribosome
rplC,ribosome
rplD,ribosome
rplE,ribosome
rplF,ribosome
rplI,ribosome
rplJ,ribosome
rplK,ribosome
rplL,ribosome
rplM,ribosome
rplN,ribosome
rplO,ribosome
rplP,ribosome
rplQ,ribosome
rplR,ribosome
rplS,ribosome
rplT,ribosome
rplU,ribosome
rplV,ribosome
rplW,ribosome
rplX,ribosome
rplY,ribosome
rpmA,ribosome
rpmB,ribosome
rpmC,ribosome
rpmD,ribosome
rpmE,ribosome
rpmF,ribosome
rpmG,ribosome
rpmH,ribosome
rpmI,ribosome
rpmJ,ribosome
rpsA,ribosome
rpsB,ribosome
rpsC,ribosome
rpsD,ribosome
rpsE,ribosome
rpsF,ribosome
rpsG,ribosome
rpsH,ribosome
rpsI,ribosome
rpsJ,ribosome
rpsK,ribosome
rpsL,ribosome
rpsM,ribosome
rpsN,ribosome
rpsO,ribosome
rpsP,ribosome
rpsQ,ribosome
rpsR,ribosome
rpsS,ribosome
rpsT,ribosome
rpsU,ribosome
alaS,synthetase
argS,synthetase
asnS,synthetase
aspS,synthetase
cysS,synthetase
gltX,synthetase
glnS,synthetase
glyQ,synthetase
glyS,synthetase
hisS,synthetase
ileS,synthetase
leuS,synthetase
lysU,synthetase
lysS,synthetase
metG,synthetase
pheS,synthetase
pheT,synthetase
proS,synthetase
serS,synthetase
thrS,synthetase
trpS,synthetase
tyrS,synthetase
valS,synthetase
ftsA,division
ftsB,division
ftsE,division
ftsH,division
ftsI,division
ftsK,division
ftsL,division
ftsN,division
ftsP,division
ftsQ,division
ftsW,division
ftsX,division
ftsY,division
ftsZ,division
ybgF,division
zapA,division
zapB,division
zapC,division
yhcM,division
yacF,division
rpoA,transcription
rpoB,transcription
rpoC,transcription
rpoD,transcription
rpoE,transcription
rpoH,transcription
rpoN,transcription
rpoS,transcription
rpoZ,transcription
crl,transcription
yjdA,replication
crfC,replication
rarA,replication
had,replication
holA,replication
holB,replication
holC,replication
holD,replication
holE,replication
tus,replication
dam,replication
dnaA,replication
dnaB,replication
dnaC,replication
dnaE,replication
dnaG,replication
dnaJ,replication
dnaK,replication
dnaN,replication
dnaQ,replication
dnaT,replication
uvrA,replication
uvrB,replication
uvrC,replication
uvrD,replication
uvrY,replication
ssb,replication
fdhF,ignore
fdoG,ignore
fdnG,ignore
prfB,ignore
dnaX,ignore
tufA,ignore
tufB,ignore
gadA,ignore
gadB,ignore
ynaE,ignore
ydfK,ignore
ldrA,ignore
ldrC,ignore
ybfD,ignore
yhhI,ignore
tfaR,ignore
tfaQ,ignore
rzoD,ignore
rzoR,ignore
pinR,ignore
pinQ,ignore
insA-1,ignore
insA-2,ignore
insA-3,ignore
insA-4,ignore
insA-5,ignore
insA-6,ignore
insA-7,ignore
insAB-1,ignore
insAB-2,ignore
insAB-3,ignore
insAB-4,ignore
insAB-5,ignore
insAB-6,ignore
insB-1,ignore
insB-2,ignore
insB-4,ignore
insC-1,ignore
insC-2,ignore
insC-3,ignore
insC-4,ignore
insC-5,ignore
insC-6,ignore
insCD-1,ignore
insCD-2,ignore
insCD-3,ignore
insCD-4,ignore
insCD-5,ignore
insCD-6,ignore
insD,ignore
insD-1,ignore
insE-1,ignore
insE-2,ignore
insE-3,ignore
insE-4,ignore
insE-5,ignore
insEF-1,ignore
insEF-2,ignore
insEF-3,ignore
insEF-4,ignore
insEF-5,ignore
insF-1,ignore
insG,ignore
insH-1,ignore
insH-10,ignore
insH-11,ignore
insH-2,ignore
insH-3,ignore
insH-4,ignore
insH-5,ignore
insH-6,ignore
insH-7,ignore
insH-8,ignore
insH-9,ignore
insI-1,ignore
insI-2,ignore
insI-3,ignore
insJ,ignore
insJK,ignore
insK,ignore
insL-1,ignore
insL-2,ignore
insL-3,ignore
insN-1,ignore
insN-2,ignore
insO-1,ignore
insO-2,ignore
insX,ignore
insD-7,ignore
insB-3,ignore
insB-3,ignore
insB-5,ignore
insB-6,ignore
insD-2,ignore
insD-4,ignore
insD-5,ignore
insD-6,ignore
insD-7,ignore
insF-2,ignore
insF-3,ignore
insF-4,ignore
insF-5,ignore
insQ,ignore
