Alias,Localization,IP
aaeA,IntegralMembraneProtein,6.14
aaeB,IntegralMembraneProtein,4.49
aaeR,Cytoplasmic,0.71
aas,IntegralMembraneProtein,1.27
aat,Cytoplasmic,0.81
accA,Cytoplasmic,0.68
accB,Cytoplasmic,0.52
accC,Cytoplasmic,0.74
accD,Cytoplasmic,0.88
aceA,Cytoplasmic,0.74
aceE,Cytoplasmic,0.91
aceF,Cytoplasmic,0.84
ackA,Cytoplasmic,0.70
acnA,Cytoplasmic,1.09
acnB,Cytoplasmic,0.81
acpH,Cytoplasmic,0.66
acpP,Cytoplasmic,0.51
acpS,Cytoplasmic,0.53
acpT,Cytoplasmic,0.76
acrA,Lipoprotein,0.74
acrB,IntegralMembraneProtein,5.61
acrD,IntegralMembraneProtein,2.29
acrR,Cytoplasmic,0.59
acs,Cytoplasmic,0.86
add,Cytoplasmic,0.70
ade,Cytoplasmic,0.91
adhE,Cytoplasmic,0.92
adk,Cytoplasmic,0.56
agaR,Cytoplasmic,0.58
ahpC,Cytoplasmic,0.60
ahpF,Cytoplasmic,0.64
ais,Periplasmic,3.00
alaS,Cytoplasmic,0.88
aldA,Cytoplasmic,0.83
allR,Cytoplasmic,0.76
alr,Cytoplasmic,0.61
alx,IntegralMembraneProtein,3.44
amiA,Periplasmic,0.55
amiB,Periplasmic,0.82
amiC,Periplasmic,0.87
amiD,Lipoprotein,1.53
amn,Cytoplasmic,0.71
ampC,Periplasmic,1.31
ampD,Cytoplasmic,0.99
ampE,IntegralMembraneProtein,3.80
ampG,IntegralMembraneProtein,2.77
ampH,Periplasmic,1.24
amyA,Cytoplasmic,1.57
anmK,-,1.62
ansA,Cytoplasmic,0.73
ansP,IntegralMembraneProtein,2.34
apaG,Cytoplasmic,1.09
apaH,Cytoplasmic,0.96
apbE,Lipoprotein,0.84
appY,Cytoplasmic,1.14
apt,Cytoplasmic,0.60
araJ,IntegralMembraneProtein,5.04
arcA,Cytoplasmic,0.76
arcB,IntegralMembraneProtein,1.97
argC,Cytoplasmic,0.97
argD,Cytoplasmic,0.86
argE,Cytoplasmic,0.76
argG,Cytoplasmic,0.93
argH,Cytoplasmic,0.71
argO,IntegralMembraneProtein,4.64
argP,Cytoplasmic,0.66
argR,Cytoplasmic,0.52
argS,Cytoplasmic,0.81
argT,Periplasmic,0.65
arnA,Cytoplasmic,1.74
arnC,IntegralMembraneProtein,2.13
aroA,Cytoplasmic,0.71
aroB,Cytoplasmic,0.80
aroC,Cytoplasmic,0.70
aroD,Cytoplasmic,0.63
aroE,Cytoplasmic,0.75
aroF,Cytoplasmic,0.66
aroG,Cytoplasmic,0.68
aroH,Cytoplasmic,1.00
aroK,Cytoplasmic,0.52
aroL,Cytoplasmic,0.68
aroM,Cytoplasmic,0.62
aroP,IntegralMembraneProtein,2.26
arsB,IntegralMembraneProtein,4.33
artI,Periplasmic,0.68
artJ,Periplasmic,0.60
artM,IntegralMembraneProtein,5.08
artP,Cytoplasmic,0.61
artQ,IntegralMembraneProtein,1.53
ascB,Cytoplasmic,0.92
ascG,Cytoplasmic,0.73
asd,Cytoplasmic,0.87
asmA,Membrane-anchored,3.11
asnA,Cytoplasmic,0.79
asnB,Cytoplasmic,1.03
asnC,Cytoplasmic,0.84
asnC,Cytoplasmic,0.86
aspA,Cytoplasmic,0.69
aspC,Cytoplasmic,0.65
aspS,Cytoplasmic,0.85
atpA,Cytoplasmic,0.66
atpB,IntegralMembraneProtein,2.52
atpC,Cytoplasmic,0.55
atpD,Cytoplasmic,1.13
atpE,IntegralMembraneProtein,2.51
atpF,Membrane-anchored,4.26
atpG,Cytoplasmic,0.69
atpH,Cytoplasmic,0.51
atpI,IntegralMembraneProtein,1.63
avtA,Cytoplasmic,0.82
azoR,Cytoplasmic,0.57
bacA,IntegralMembraneProtein,1.62
baeR,Cytoplasmic,0.65
baeS,IntegralMembraneProtein,2.29
bamA,OutermembraneProtein,1.05
bamB,OutermembraneLipoprotein,0.75
bamC,OutermembraneLipoprotein,0.67
bamD,OutermembraneLipoprotein,0.72
barA,IntegralMembraneProtein,1.39
basR,Cytoplasmic,1.19
